character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10,emotion
Ross,S06,joy,taken,0.2731791823540762,tay,0.21854334588326096,kara,0.21854334588326096,theories,0.16390750941244572,actual,0.16390750941244572,notice,0.10927167294163048,problems,0.10927167294163048,theoretically,0.10927167294163048,subcategories,0.10927167294163048,swear,0.10927167294163048
Rachel,S06,joy,run,0.3149183286488863,straight,0.2099455524325909,house,0.2099455524325909,hour,0.15745916432444315,boss,0.15745916432444315,bob,0.15745916432444315,thompson,0.10497277621629544,messages,0.10497277621629544,pam,0.10497277621629544,shared,0.10497277621629544
Phoebe,S06,joy,leslie,0.27524094128158977,tie,0.16514456476895384,chester,0.16514456476895384,massage,0.16514456476895384,kenny,0.16514456476895384,marcia,0.16514456476895384,demon,0.1100963765126359,birds,0.1100963765126359,company,0.1100963765126359,biggest,0.1100963765126359
Monica,S06,joy,sweetie,0.40919660368228467,significant,0.20459830184114233,sold,0.20459830184114233,medicine,0.1363988678940949,accent,0.1363988678940949,phyllis,0.1363988678940949,sick,0.1363988678940949,harm,0.1363988678940949,gimme,0.1363988678940949,ceremony,0.1363988678940949
Chandler,S10,joy,owen,0.25555062599997597,maxim,0.12777531299998798,pact,0.12777531299998798,scalp,0.12777531299998798,steal,0.12777531299998798,trade,0.12777531299998798,intuitive,0.12777531299998798,hopes,0.12777531299998798,handcuffs,0.12777531299998798,divorce,0.12777531299998798
Joey,S10,joy,forever,0.22360679774997874,books,0.16770509831248404,forth,0.16770509831248404,warming,0.16770509831248404,saying,0.16770509831248404,surprise,0.16770509831248404,audition,0.11180339887498937,dramatic,0.11180339887498937,finished,0.11180339887498937,talents,0.11180339887498937
Ross,S10,joy,correct,0.2769243878108554,tenure,0.22153951024868432,bottle,0.16615463268651323,daughter,0.16615463268651323,grandma,0.16615463268651323,able,0.16615463268651323,margaritas,0.16615463268651323,boys,0.11076975512434216,agree,0.11076975512434216,tickets,0.11076975512434216
Rachel,S10,joy,offered,0.3194382824999701,ralph,0.2555506259999761,lauren,0.2555506259999761,shaped,0.12777531299998804,gucci,0.12777531299998804,nonchalant,0.12777531299998804,size,0.12777531299998804,jersey,0.12777531299998804,hide,0.12777531299998804,group,0.12777531299998804
Phoebe,S10,joy,bam,0.36214298417007373,anniversary,0.2716072381275553,hannigan,0.22633936510629607,bridesmaid,0.13580361906377764,dress,0.13580361906377764,competition,0.13580361906377764,sarah,0.13580361906377764,wide,0.09053574604251843,claude,0.09053574604251843,uhu,0.09053574604251843
Monica,S10,joy,flock,0.34132807439314433,whoa,0.17066403719657217,amanda,0.17066403719657217,breathe,0.17066403719657217,pies,0.17066403719657217,adopt,0.17066403719657217,cigarettes,0.11377602479771477,cleaning,0.11377602479771477,stays,0.11377602479771477,address,0.11377602479771477
Chandler,S03,joy,bing,0.22153951024868432,worst,0.16615463268651323,stripper,0.16615463268651323,xerox,0.11076975512434216,capital,0.11076975512434216,drawer,0.11076975512434216,dates,0.11076975512434216,handle,0.11076975512434216,friday,0.11076975512434216,dear,0.11076975512434216
Joey,S03,joy,kate,0.3191725268112869,buddy,0.18238430103502107,soap,0.18238430103502107,operas,0.1367882257762658,agent,0.1367882257762658,card,0.1367882257762658,step,0.1367882257762658,device,0.1367882257762658,estelle,0.1367882257762658,lauren,0.1367882257762658
Ross,S03,joy,issac,0.18238430103502104,bird,0.1367882257762658,chloe,0.1367882257762658,barbi,0.1367882257762658,susan,0.1367882257762658,list,0.1367882257762658,option,0.1367882257762658,gimme,0.09119215051751052,drop,0.09119215051751052,discovery,0.09119215051751052
Rachel,S03,joy,blah,0.6233022919309978,pretend,0.09589266029707659,lingerie,0.09589266029707659,wake,0.09589266029707659,ugh,0.09589266029707659,summer,0.09589266029707659,gooo,0.09589266029707659,theme,0.09589266029707659,serving,0.09589266029707659,margaritas,0.09589266029707659
Phoebe,S03,joy,translator,0.15724272550828755,sergei,0.15724272550828755,mouse,0.1048284836721917,varoom,0.1048284836721917,opossum,0.1048284836721917,leslie,0.1048284836721917,numbers,0.1048284836721917,peace,0.1048284836721917,massages,0.1048284836721917,park,0.1048284836721917
