character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10
Chandler,S08,developed,0.1491661255891131,sir,0.1491661255891131,bob,0.12231835683407992,cameras,0.12231835683407992,joe,0.12231835683407992,wife,0.12231835683407992,statistical,0.09944408372607541,treasure,0.09944408372607541,sun,0.09944408372607541,dim,0.09944408372607541
Joey,S08,dude,0.2062795597586328,talkin,0.17189963313219397,doin,0.14096015822673982,tribbiani,0.14096015822673982,ball,0.13751970650575518,remoray,0.13751970650575518,push,0.13751970650575518,dina,0.11276812658139188,crush,0.11276812658139188,gone,0.11276812658139188
Ross,S08,ruth,0.22925778889721604,ukrainian,0.13978889602527966,muriel,0.13978889602527966,film,0.13978889602527966,coffee,0.11462889444860802,holiday,0.11462889444860802,younger,0.11462889444860802,supposed,0.11462889444860802,hospital,0.11462889444860802,kicking,0.11462889444860802
Rachel,S08,daddy,0.1792966412012169,cujo,0.13447248090091268,opera,0.13447248090091268,late,0.13447248090091268,digest,0.13447248090091268,careful,0.11026935799425445,gone,0.11026935799425445,kicking,0.11026935799425445,dating,0.11026935799425445,dina,0.11026935799425445
Phoebe,S08,sting,0.18572580293020757,brolin,0.18119274432442295,ursula,0.18119274432442295,positive,0.14858064234416607,blah,0.1358945582433172,wrap,0.1358945582433172,mon,0.1358945582433172,massage,0.11143548175812455,grade,0.11143548175812455,parker,0.11143548175812455
Monica,S08,bath,0.2557622748102138,chef,0.21922480698018326,tim,0.14614987132012217,toast,0.14614987132012217,bread,0.13367133084779995,bra,0.10961240349009163,entire,0.10961240349009163,star,0.10961240349009163,joke,0.10961240349009163,clean,0.10961240349009163
Chandler,S06,couch,0.203609341165299,card,0.1669625724275476,joe,0.1669625724275476,charge,0.13357005794203808,gifts,0.13357005794203808,sir,0.13357005794203808,krog,0.1221656046991794,ugly,0.1221656046991794,pig,0.1221656046991794,pigs,0.1221656046991794
Joey,S06,thursday,0.31825911178635713,famous,0.1768106176590873,tribbiani,0.14498723579139988,food,0.14498723579139988,buddy,0.14498723579139988,wall,0.11598978863311991,cup,0.11598978863311991,sucks,0.10608637059545237,candles,0.10608637059545237,flowers,0.10608637059545237
Ross,S06,taken,0.21123918110301468,difference,0.17321915032284782,kara,0.16899134488241174,tay,0.16899134488241174,attack,0.13857532025827826,pottery,0.13857532025827826,ben,0.13857532025827826,barn,0.13857532025827826,age,0.13857532025827826,theories,0.1267435086618088
Rachel,S06,run,0.25680000561024224,ralph,0.17548306514617,lauren,0.17548306514617,house,0.17120000374016148,straight,0.17120000374016148,bob,0.12840000280512112,hour,0.12840000280512112,boss,0.12840000280512112,tribbiani,0.105289839087702,gone,0.105289839087702
Phoebe,S06,leslie,0.22403154634939648,fan,0.14696725825776205,ralph,0.14696725825776205,chester,0.13441892780963788,kenny,0.13441892780963788,tie,0.13441892780963788,massage,0.13441892780963788,marcia,0.13441892780963788,lauren,0.11022544369332155,thoughts,0.11022544369332155
Monica,S06,sweetie,0.3326781468897703,sold,0.16633907344488516,significant,0.16633907344488516,era,0.13640041973823758,packed,0.13640041973823758,waiting,0.13640041973823758,roger,0.13640041973823758,sick,0.11089271562992344,accent,0.11089271562992344,gimme,0.11089271562992344
Chandler,S10,adopted,0.20188985536703982,owen,0.19696227647464387,kids,0.16151188429363186,knows,0.16151188429363186,letter,0.16151188429363186,wife,0.12113391322022389,fancy,0.12113391322022389,buy,0.12113391322022389,intuitive,0.09848113823732194,cooler,0.09848113823732194
Joey,S10,food,0.20852819125171973,dude,0.17377349270976644,play,0.17377349270976644,forever,0.1695321572886388,chick,0.13901879416781315,order,0.13901879416781315,present,0.13901879416781315,surprise,0.1271491179664791,forth,0.1271491179664791,books,0.1271491179664791
Ross,S10,correct,0.224631044159858,aren,0.22104080352325928,finally,0.18420066960271606,tenure,0.1797048353278864,missy,0.14736053568217286,daughter,0.1347786264959148,bottle,0.1347786264959148,grandma,0.1347786264959148,margaritas,0.1347786264959148,able,0.1347786264959148
Rachel,S10,offered,0.24906171097876545,amy,0.20423416587975377,lauren,0.19924936878301236,ralph,0.19924936878301236,shoot,0.163387332703803,calm,0.163387332703803,careful,0.12254049952785227,happened,0.12254049952785227,geez,0.09962468439150618,deal,0.09962468439150618
Phoebe,S10,bam,0.30932517080414873,anniversary,0.23199387810311156,hannigan,0.19332823175259295,bridesmaid,0.11599693905155578,sarah,0.11599693905155578,dress,0.11599693905155578,competition,0.11599693905155578,buffay,0.09511914938149182,prepared,0.09511914938149182,food,0.09511914938149182
Monica,S10,flock,0.283200375012414,bad,0.15481890583180302,amanda,0.141600187506207,breathe,0.141600187506207,whoa,0.141600187506207,pies,0.141600187506207,adopt,0.141600187506207,lady,0.11611417937385227,guest,0.11611417937385227,twins,0.11611417937385227
Chandler,S03,chick,0.39042123717480626,bing,0.17313278326080356,mary,0.1419713589726568,angela,0.1419713589726568,stripper,0.12984958744560265,worst,0.12984958744560265,mister,0.10647851922949261,jeez,0.08656639163040178,friday,0.08656639163040178,handle,0.08656639163040178
Joey,S03,kate,0.26327433130213235,acting,0.18504747245080014,audition,0.15420622704233344,soap,0.1504424750297899,buddy,0.1504424750297899,nothin,0.12336498163386676,card,0.11283185627234245,operas,0.11283185627234245,lauren,0.11283185627234245,device,0.11283185627234245
Ross,S03,boxes,0.18271609556356042,girlfriend,0.18271609556356042,trying,0.15226341296963367,issac,0.14854707973204087,gives,0.12181073037570693,cab,0.12181073037570693,chloe,0.11141030979903066,barbi,0.11141030979903066,bird,0.11141030979903066,list,0.11141030979903066
Rachel,S03,blah,0.5473476534281693,girlfriend,0.13810243253163806,shining,0.10357682439872855,sweep,0.10357682439872855,tommy,0.10357682439872855,later,0.10357682439872855,gooo,0.08420733129664143,kaplan,0.08420733129664143,pretend,0.08420733129664143,lingerie,0.08420733129664143
Phoebe,S03,frank,0.24176403125923288,bonnie,0.13815087500527592,alive,0.13815087500527592,translator,0.12635530331254388,sergei,0.12635530331254388,instead,0.10361315625395695,beach,0.10361315625395695,lives,0.10361315625395695,according,0.08423686887502926,atlas,0.08423686887502926
Monica,S03,message,0.18417499156292694,bad,0.17967978401877985,lights,0.14733999325034156,bowl,0.1347598380140849,brave,0.1347598380140849,outgoing,0.1347598380140849,hummina,0.1347598380140849,richard,0.1347598380140849,push,0.1347598380140849,ginger,0.11050499493775616
Chandler,S04,yemen,0.2413362887919566,phone,0.16817566457564492,joe,0.1379064507382609,bag,0.1379064507382609,hall,0.1261317484317337,announcement,0.1261317484317337,entire,0.10342983805369568,moment,0.10342983805369568,rabbit,0.10342983805369568,works,0.10342983805369568
Joey,S04,doin,0.20920320184108301,happened,0.1700809368120237,abbey,0.1700809368120237,everest,0.13946880122738867,lady,0.13946880122738867,phase,0.13946880122738867,ace,0.12756070260901778,hat,0.12756070260901778,climb,0.12756070260901778,video,0.10460160092054151
Ross,S04,correct,0.4991845647618965,gentlemen,0.21839324708332972,questions,0.1871942117857112,ladies,0.15599517648809266,favorite,0.1535019315146046,round,0.12479614119047412,categories,0.12479614119047412,team,0.10233462100973639,lightning,0.10233462100973639,amanda,0.10233462100973639
Rachel,S04,joanna,0.2950231419380105,chip,0.1728022833955136,gimme,0.1728022833955136,finished,0.1264384894020045,knives,0.1264384894020045,assistant,0.1264384894020045,pen,0.10368137003730817,julie,0.10368137003730817,interesting,0.10368137003730817,green,0.10368137003730817
