character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10,mot_1_filtre,score_1_filtre,mot_2_filtre,score_2_filtre,mot_3_filtre,score_3_filtre,mot_4_filtre,score_4_filtre,mot_5_filtre,score_5_filtre,mot_6_filtre,score_6_filtre,mot_7_filtre,score_7_filtre,mot_8_filtre,score_8_filtre,mot_9_filtre,score_9_filtre,mot_10_filtre,score_10_filtre
Ross,S05,cousin,0.18088625265845357,piv,0.18088625265845357,shelf,0.13566468949384017,freaks,0.13566468949384017,breathe,0.13566468949384017,note,0.13566468949384017,principles,0.13566468949384017,rage,0.13566468949384017,sabbatical,0.13566468949384017,seize,0.13566468949384017,cousin,0.18144368465060554,piv,0.18144368465060554,breathe,0.13608276348795414,sabbatical,0.13608276348795414,freaks,0.13608276348795414,rage,0.13608276348795414,note,0.13608276348795414,seize,0.13608276348795414,shelter,0.13608276348795414,shelf,0.13608276348795414
Rachel,S05,gala,0.26186146828319057,courage,0.26186146828319057,yeti,0.21821789023599214,regatta,0.1745743121887937,smoking,0.1745743121887937,invitation,0.13093073414159528,litigious,0.13093073414159528,lent,0.13093073414159528,quit,0.13093073414159528,shows,0.13093073414159528,gala,0.26311740579210846,courage,0.26311740579210846,yeti,0.21926450482675708,smoking,0.17541160386140567,regatta,0.17541160386140567,shows,0.13155870289605423,litigious,0.13155870289605423,quit,0.13155870289605423,sort,0.13155870289605423,lent,0.13155870289605423
Phoebe,S05,larry,0.19611613513818368,joy,0.19611613513818368,backup,0.19611613513818368,names,0.15689290811054693,simmons,0.15689290811054693,buffay,0.15689290811054693,lilly,0.1176696810829102,sympathy,0.1176696810829102,pool,0.1176696810829102,pepperoni,0.1176696810829102,larry,0.19873215837929067,joy,0.19873215837929067,backup,0.19873215837929067,simmons,0.15898572670343253,names,0.15898572670343253,pool,0.11923929502757441,pepperoni,0.11923929502757441,abandonment,0.11923929502757441,sympathy,0.11923929502757441,undo,0.11923929502757441
Monica,S05,blah,0.16718346377260568,tuscan,0.11145564251507045,weak,0.11145564251507045,spoil,0.11145564251507045,photos,0.11145564251507045,trap,0.11145564251507045,photo,0.11145564251507045,subject,0.11145564251507045,152,0.11145564251507045,salsa,0.11145564251507045,blah,0.16718346377260568,award,0.11145564251507045,basted,0.11145564251507045,weak,0.11145564251507045,bug,0.11145564251507045,bothers,0.11145564251507045,birthdays,0.11145564251507045,bomb,0.11145564251507045,culinary,0.11145564251507045,charming,0.11145564251507045
Chandler,S09,ken,0.14845392380504072,pays,0.11134044285378054,paris,0.11134044285378054,service,0.11134044285378054,loving,0.11134044285378054,vermont,0.11134044285378054,pack,0.11134044285378054,picturing,0.11134044285378054,hip,0.11134044285378054,hint,0.11134044285378054,ken,0.14865882924943288,pays,0.11149412193707467,pack,0.11149412193707467,paris,0.11149412193707467,picturing,0.11149412193707467,loving,0.11149412193707467,ham,0.11149412193707467,dictionary,0.11149412193707467,service,0.11149412193707467,vermont,0.11149412193707467
Joey,S09,extras,0.17524318173532907,puppy,0.17524318173532907,stable,0.1314323863014968,carry,0.1314323863014968,dirk,0.1314323863014968,thong,0.1314323863014968,producer,0.1314323863014968,princess,0.1314323863014968,famous,0.08762159086766454,character,0.08762159086766454,extras,0.17524318173532907,puppy,0.17524318173532907,stable,0.1314323863014968,dirk,0.1314323863014968,carry,0.1314323863014968,thong,0.1314323863014968,princess,0.1314323863014968,producer,0.1314323863014968,headshot,0.08762159086766454,bruises,0.08762159086766454
Ross,S09,prize,0.22661687238014885,keynote,0.15107791492009923,mesozoic,0.15107791492009923,towing,0.11330843619007443,conference,0.11330843619007443,albert,0.11330843619007443,scans,0.11330843619007443,hum,0.11330843619007443,michelle,0.11330843619007443,plenty,0.11330843619007443,prize,0.22825075707255948,keynote,0.15216717138170632,mesozoic,0.15216717138170632,scans,0.11412537853627974,plenty,0.11412537853627974,towing,0.11412537853627974,hum,0.11412537853627974,conference,0.11412537853627974,albert,0.11412537853627974,palaeontology,0.07608358569085316
Rachel,S09,presentation,0.1987615979999809,rap,0.1987615979999809,surprised,0.1987615979999809,button,0.14907119849998565,creep,0.14907119849998565,morgan,0.14907119849998565,finished,0.09938079899999044,drapes,0.09938079899999044,crawling,0.09938079899999044,dial,0.09938079899999044,rap,0.20075424529139782,presentation,0.20075424529139782,surprised,0.20075424529139782,morgan,0.15056568396854836,creep,0.15056568396854836,button,0.15056568396854836,push,0.10037712264569891,nap,0.10037712264569891,scarf,0.10037712264569891,medieval,0.10037712264569891
Phoebe,S09,garlic,0.2039542541120005,yummy,0.1631634032896004,minsk,0.1631634032896004,someday,0.1223725524672003,lowell,0.1223725524672003,mary,0.1223725524672003,lived,0.1223725524672003,ellen,0.1223725524672003,children,0.1223725524672003,ooooohhhhh,0.0815817016448002,garlic,0.2069014721505914,yummy,0.16552117772047314,someday,0.12414088329035484,mary,0.12414088329035484,lowell,0.12414088329035484,lived,0.12414088329035484,ellen,0.12414088329035484,children,0.12414088329035484,puppet,0.08276058886023657,master,0.08276058886023657
Monica,S09,geoffrey,0.22564684120326187,sort,0.1805174729626095,meddle,0.1805174729626095,nancy,0.13538810472195711,javo,0.13538810472195711,humidity,0.13538810472195711,umhmm,0.09025873648130475,meddled,0.09025873648130475,lowered,0.09025873648130475,magazines,0.09025873648130475,geoffrey,0.22564684120326187,sort,0.1805174729626095,meddle,0.1805174729626095,javo,0.13538810472195711,humidity,0.13538810472195711,nancy,0.13538810472195711,cellphone,0.09025873648130475,bouncy,0.09025873648130475,folders,0.09025873648130475,erection,0.09025873648130475
Chandler,S08,developed,0.14433756729740624,donut,0.14433756729740624,duties,0.14433756729740624,lessons,0.14433756729740624,sun,0.14433756729740624,split,0.14433756729740624,tomatoes,0.09622504486493749,troubles,0.09622504486493749,glamorous,0.09622504486493749,doug,0.09622504486493749,donut,0.14501047335684936,duties,0.14501047335684936,developed,0.14501047335684936,lessons,0.14501047335684936,sun,0.14501047335684936,split,0.14501047335684936,dilating,0.09667364890456623,data,0.09667364890456623,factoring,0.09667364890456623,sierra,0.09667364890456623
Joey,S08,talkin,0.23810273703976306,memories,0.1587351580265087,audition,0.1587351580265087,sexually,0.11905136851988153,mayhem,0.11905136851988153,premiere,0.11905136851988153,millions,0.11905136851988153,knowing,0.11905136851988153,fan,0.11905136851988153,comin,0.11905136851988153,talkin,0.23810273703976306,memories,0.1587351580265087,audition,0.1587351580265087,premiere,0.11905136851988153,mayhem,0.11905136851988153,millions,0.11905136851988153,sexually,0.11905136851988153,knowing,0.11905136851988153,fan,0.11905136851988153,comin,0.11905136851988153
